word,translate
organisatie,organisatie
appartementen,appartementen
woning,woning
woningcorporatie,woningcorporatie
oplopen,oplopen
heel,heel
omkopen,omkopen
vaker,vaker
euro,euro
tot,tot
met,met
te,te
die,die
contact,contact
het,het
zo,zo
willen,willen
Nederland,Nederland
een,een
om,om
in,in
van,van 
wil,wil
voor,voor
transcaties,transcaties
en,en
dat,dat
zijn,zijn
europese,European
unie,Union
sluit,closing
migratiedeal,migration deal
tunesië,Tunisia
de,The
hebben,to have
deal,deal
gesloten,Closed
op,on
gebied,area
migratie,"migration,"
meldt,reports
woordvoerder,spokesman
demissionair,outgoing
premier,Prime Minister
rutte,Rutte
vanuit,from
de,the
hoofdstad,capital
tunis,Tunis.
is,is
omstreden,controversial.
critici,Critics
wijzen,ways
erop,on top
sprake,talk
is,is
dictatuur,dictatorship
geld,money
zakken,to fail
zal,shall
belanden,end up
machthebbers,rulers.
ook,Also
zou,would
legitimiteit,legitimacy
geven,to give
aan,On
bewind,reign.
